university,link,country,city,region,logo,type,faculty_count
Durham University,https://www.topuniversities.com/universities/durham-university,United Kingdom,Durham,Europe,https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg,Public,"1,775"
The University of Sheffield,https://www.topuniversities.com/universities/university-sheffield,United Kingdom,Sheffield,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-sheffield_592560cf2aeae70239af4cb1_small.jpg,Public,"3,463"
KU Leuven,https://www.topuniversities.com/universities/ku-leuven,Belgium,Leuven,Europe,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg,Public,"2,677"
University of Copenhagen,https://www.topuniversities.com/universities/university-copenhagen,Denmark,Copenhagen,Europe,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg,Public,"7,293"
University of Birmingham,https://www.topuniversities.com/universities/university-birmingham,United Kingdom,Birmingham,Europe,https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_small.jpg,Public,"3,586"
Tohoku University,https://www.topuniversities.com/universities/tohoku-university,Japan,Sendai City,Asia,https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg,Public,"3,323"
Korea University,https://www.topuniversities.com/universities/korea-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg,Private,"4,026"
The University of Auckland,https://www.topuniversities.com/universities/university-auckland,New Zealand,Auckland,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-auckland_592560cf2aeae70239af4aa8_small.jpg,Public,"2,316"
Lomonosov Moscow State University,https://www.topuniversities.com/universities/lomonosov-moscow-state-university,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg,Public,"6,575"
Rice University,https://www.topuniversities.com/universities/rice-university,United States,Houston,North America,https://www.topuniversities.com/sites/default/files/rice-university_524_small.jpg,Private,996
The University of Western Australia,https://www.topuniversities.com/universities/university-western-australia,Australia,Perth,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-western-australia_673_small.jpg,Public,"1,539"
Pohang University of Science And Technology (POSTECH),https://www.topuniversities.com/universities/pohang-university-science-technology-postech,South Korea,Pohang ,Asia,https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg,Private,743
University of Science and Technology of China,https://www.topuniversities.com/universities/university-science-technology-china,China (Mainland),Hefei,Asia,https://www.topuniversities.com/sites/default/files/university-of-science-and-technology-of-china_122_small.jpg,Public,"2,708"
"University of North Carolina, Chapel Hill",https://www.topuniversities.com/universities/university-north-carolina-chapel-hill,United States,Chapel Hill,North America,https://www.topuniversities.com/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg,Public,"4,646"
The Hong Kong Polytechnic University,https://www.topuniversities.com/universities/hong-kong-polytechnic-university,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg,Public,"2,822"
Lund University,https://www.topuniversities.com/universities/lund-university,Sweden,Lund,Europe,https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg,Public,"3,040"
Pennsylvania State University,https://www.topuniversities.com/universities/pennsylvania-state-university,United States,University Park,North America,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg,Public,"4,207"
University of Leeds,https://www.topuniversities.com/universities/university-leeds,United Kingdom,Leeds,Europe,https://www.topuniversities.com/sites/default/files/university-of-leeds_338_small.jpg,Public,"3,593"
Sungkyunkwan University(SKKU),https://www.topuniversities.com/universities/sungkyunkwan-universityskku,South Korea,Suwon,Asia,https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg,Private,"3,313"
University of Nottingham,https://www.topuniversities.com/universities/university-nottingham,United Kingdom,Nottingham,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-nottingham_592560cf2aeae70239af4c4e_small.jpg,Public,"3,386"
University of Southampton,https://www.topuniversities.com/universities/university-southampton,United Kingdom,Southampton,Europe,https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg,Public,"2,468"
Boston University,https://www.topuniversities.com/universities/boston-university,United States,Boston,North America,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg,Private,"2,642"
KTH Royal Institute of Technology ,https://www.topuniversities.com/universities/kth-royal-institute-technology,Sweden,Stockholm,Europe,https://www.topuniversities.com/sites/default/files/kth-royal-institute-of-technology-_592560cf2aeae70239af4c9b_small.jpg,Public,"3,600"
University of St Andrews,https://www.topuniversities.com/universities/university-st-andrews,United Kingdom,St. Andrews,Europe,https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_small.jpg,Public,"1,208"
